Terminal/Stream,Liquid Type,January,February,March,April,May,June
BONNY,Crude Oil,7201300.0,7360640.0,7998000.0,8360400.0,8588240.0,9057900.0
BRASS,Crude Oil,941160.0,963480.0,1087790.0,989700.0,1046870.0,995400.0
QUA IBOE,Crude Oil,4549870.0,4401040.0,5196840.0,4918200.0,5371370.0,4892100.0
FORCADOS,Crude Oil,7946850.0,6234760.0,4733080.0,6654000.0,8265530.0,8485800.0
ESCRAVOS (Oil Terminal),Crude Oil,4227470.0,3745000.0,4355500.0,4070100.0,4128890.0,4053600.0
ODUDU (AMENAM BLEND),Crude Oil,1946800.0,1862840.0,2034840.0,1854000.0,1953310.0,1859400.0
TULJA - OKWUIBOME,Crude Oil,1758010.0,1386840.0,1566740.0,1595700.0,1655710.0,1626600.0
AJAPA,Crude Oil,61690.0,52640.0,36270.0,52800.0,35340.0,80700.0
OKORO (Ex Ima Terminal),Crude Oil,154070.0,93800.0,119040.0,114000.0,119660.0,162900.0
OTAKPIPO,Crude Oil,196230.0,176120.0,263190.0,255600.0,223510.0,178200.0
ANTAN,Crude Oil,150660.0,143920.0,183210.0,227100.0,214830.0,226800.0
OKONO,Crude Oil,142600.0,205240.0,222580.0,208500.0,193750.0,106500.0
YOHO,Crude Oil,3720.0,,,,,
OKWORI,Crude Oil,102610.0,88480.0,84940.0,91200.0,97960.0,72900.0
EBOK,Crude Oil,255750.0,223160.0,233120.0,222600.0,221960.0,214500.0
BONGA,Crude Oil,3701400.0,56560.0,2851690.0,3063600.0,3178740.0,3109800.0
ERHA,Crude Oil,2193560.0,1898400.0,2187980.0,2045100.0,2161630.0,1978800.0
USAN,Crude Oil,1040980.0,1016960.0,1080040.0,928500.0,999130.0,890700.0
EGINA,Crude Oil,1541320.0,1506400.0,1599600.0,1467000.0,1536360.0,1438500.0
OYO / OBODO,Crude Oil,24800.0,21560.0,24180.0,0.0,,
ABO,Crude Oil,269700.0,249200.0,256370.0,236100.0,224130.0,206100.0
PENNINGTON,Crude Oil,429660.0,375200.0,165540.0,153300.0,62620.0,116400.0
UGO OCHA (JONES CREEK),Crude Oil,1077870.0,1034600.0,961000.0,1012500.0,1113830.0,807000.0
SEA EAGLE (EA),Crude Oil,536300.0,449400.0,469960.0,431100.0,464380.0,437100.0
ANYALA MADU (CJ Blend),Crude Oil,1416700.0,410200.0,1215200.0,1809000.0,1558990.0,1655100.0
NEMBE,Crude Oil,1271930.0,742840.0,1399340.0,1188300.0,1293320.0,1220400.0
UTAPATE,Crude Oil,1710890.0,1623160.0,1798620.0,1778700.0,1834270.0,1788900.0
CAWTHORNE,Crude Oil,382540.0,460600.0,743070.0,929100.0,897140.0,994200.0
