Terminal/Stream,Liquid Type,January,February,March,April,May,June,July,August,September,October,November,December
BONNY,Crude Oil,7570173.0,5892185.0,7360738.0,7079233.0,6673050.0,6625912.0,7567542.0,5850190.0,5924385.0,7535315.0,7751499.0,7884015.0
BONNY,Condensate,574015.0,475882.0,290820.0,326253.0,423241.0,542024.0,507637.0,418278.0,393815.0,399509.0,419547.0,406781.0
BONNY,Blend Total,8144187.0,6368067.0,7651558.0,7405486.0,7096291.0,7167936.0,8075179.0,6268468.0,6318200.0,7934823.0,8171046.0,8290796.0
BRASS,Crude Oil,860312.0,726912.0,937437.0,619261.0,857711.0,710231.0,820821.0,846393.0,935010.0,946439.0,981254.0,914165.0
BRASS,Condensate,190629.0,149116.0,180191.0,127826.0,175028.0,167744.0,294502.0,309192.0,217677.0,220768.0,225872.0,265032.0
BRASS,Blend Total,1050941.0,876028.0,1117628.0,747087.0,1032739.0,877975.0,1115323.0,1155585.0,1152687.0,1167207.0,1207126.0,1179197.0
QUA IBOE,Crude Oil,4580997.0,4227836.0,3504376.0,4296506.0,4921690.0,5036322.0,4503690.0,4946259.0,4640056.0,2683665.0,3980764.0,5074619.0
QUA IBOE,Condensate,55999.0,55197.0,56460.0,55062.0,53306.0,53284.0,47463.0,50510.0,48737.0,49125.0,53963.0,50759.0
QUA IBOE,Blend Total,4636996.0,4283033.0,3560836.0,4351568.0,4974996.0,5089606.0,4551153.0,4996769.0,4688793.0,2732790.0,4034727.0,5125378.0
FORCADOS,Crude Oil,7997419.0,6919400.0,5798465.0,8409659.0,7089537.0,7901129.0,8059799.0,8084121.0,6853852.0,8585208.0,8327198.0,8569954.0
FORCADOS,Condensate,864644.0,832417.0,977791.0,947916.0,987103.0,944443.0,980016.0,915239.0,673607.0,823815.0,795295.0,714440.0
FORCADOS,Blend Total,8862063.0,7751817.0,6776256.0,9357575.0,8076641.0,8845572.0,9039815.0,8999360.0,7527459.0,9409023.0,9122493.0,9284394.0
ESCRAVOS (Oil Terminal),Crude Oil,4261436.0,3794400.0,4186992.0,4082589.0,4439405.0,4047894.0,4335432.0,4080954.0,4129694.0,4329068.0,3829825.0,4091466.0
ESCRAVOS (Oil Terminal),Condensate,218992.0,82573.0,220154.0,219894.0,130940.0,123762.0,137946.0,107005.0,121687.0,111949.0,300431.0,90173.0
ESCRAVOS (Oil Terminal),Blend Total,4480428.0,3876973.0,4407146.0,4302483.0,4570345.0,4171656.0,4473378.0,4187959.0,4251381.0,4441017.0,4130256.0,4181639.0
ODUDU (AMENAM BLEND),Crude Oil,2324122.0,2063093.0,2313424.0,2106782.0,1890759.0,2061295.0,2124883.0,1846043.0,2005854.0,2111519.0,1888702.0,1970777.0
ODUDU (AMENAM BLEND),Condensate,5934.0,4508.0,5221.0,4865.0,5043.0,4438.0,4741.0,4741.0,4590.0,4666.0,4565.0,4616.0
